YR,MO,DA,HHMM,Day,Day,S,Bx,By,Bz,Bt,Lat.,Long.
2003,10,29,0000,52941,0,0,4.4,3.2,-7.7,9.4,-54.7,35.8
2003,10,29,0001,52941,60,0,5.7,3.4,-6.6,9.3,-44.9,30.6
2003,10,29,0002,52941,120,0,5.6,5.7,-4.5,9.2,-29.4,45.2
2003,10,29,0003,52941,180,0,4.2,6.1,-5.4,9.2,-36.1,55.0
2003,10,29,0004,52941,240,0,1.6,7.8,-4.5,9.1,-29.4,78.3
2003,10,29,0005,52941,300,0,6.3,6.2,-1.1,8.9,-7.1,44.4
2003,10,29,0006,52941,360,0,7.5,2.2,3.1,8.5,21.7,16.0
2003,10,29,0007,52941,420,0,7.5,2.9,-2.8,8.5,-19.6,21.5
2003,10,29,0008,52941,480,0,9.0,0.8,-1.7,9.2,-10.3,5.0
2003,10,29,0009,52941,540,0,8.5,2.1,-2.6,9.2,-16.4,13.9
2003,10,29,0010,52941,600,0,8.8,1.8,-2.4,9.3,-15.1,11.3
2003,10,29,0011,52941,660,0,8.6,0.8,-2.6,9.1,-16.8,5.5
2003,10,29,0012,52941,720,0,8.8,1.1,-2.8,9.3,-17.7,6.9
2003,10,29,0013,52941,780,0,8.0,-1.4,-4.9,9.5,-30.8,349.9
2003,10,29,0014,52941,840,0,7.7,-1.1,-5.3,9.4,-34.5,352.0
2003,10,29,0015,52941,900,0,6.9,0.2,-5.5,8.8,-38.4,1.3
2003,10,29,0016,52941,960,0,8.4,-0.4,-3.6,9.1,-23.1,356.9
2003,10,29,0017,52941,1020,0,8.5,-3.2,-2.4,9.4,-14.9,339.3
2003,10,29,0018,52941,1080,0,6.6,-3.8,-4.2,8.6,-29.1,330.2
2003,10,29,0019,52941,1140,0,6.8,-5.2,-3.3,9.2,-21.0,322.6
2003,10,29,0020,52941,1200,0,7.6,-4.1,-3.2,9.2,-20.4,331.2
2003,10,29,0021,52941,1260,0,6.6,-4.8,-3.9,9.0,-25.3,324.1
2003,10,29,0022,52941,1320,0,4.0,4.2,-5.4,7.9,-42.8,46.5
