DATE, TIME, DOY, ASY_D, ASY_H, SYM_D, SYM_H
2003-10-29, 00:00:00.000, 302, 55.00, 70.00, -1.00, -32.00
2003-10-29, 00:01:00.000, 302, 56.00, 69.00, -1.00, -31.00
2003-10-29, 00:02:00.000, 302, 56.00, 67.00, -1.00, -30.00
2003-10-29, 00:03:00.000, 302, 55.00, 66.00, -1.00, -29.00
2003-10-29, 00:04:00.000, 302, 54.00, 66.00, 0.00, -30.00
2003-10-29, 00:05:00.000, 302, 49.00, 64.00, 0.00, -30.00
2003-10-29, 00:06:00.000, 302, 48.00, 65.00, -1.00, -30.00
2003-10-29, 00:07:00.000, 302, 48.00, 66.00, -2.00, -31.00
2003-10-29, 00:08:00.000, 302, 47.00, 67.00, -2.00, -32.00
2003-10-29, 00:09:00.000, 302, 44.00, 65.00, -2.00, -33.00
2003-10-29, 00:10:00.000, 302, 47.00, 66.00, -3.00, -34.00
2003-10-29, 00:11:00.000, 302, 49.00, 68.00, -4.00, -35.00
2003-10-29, 00:12:00.000, 302, 51.00, 70.00, -4.00, -36.00
2003-10-29, 00:13:00.000, 302, 53.00, 74.00, -4.00, -38.00
2003-10-29, 00:14:00.000, 302, 52.00, 69.00, -3.00, -36.00
2003-10-29, 00:15:00.000, 302, 51.00, 65.00, -3.00, -34.00
2003-10-29, 00:16:00.000, 302, 50.00, 65.00, -2.00, -34.00
2003-10-29, 00:17:00.000, 302, 48.00, 65.00, -3.00, -34.00
2003-10-29, 00:18:00.000, 302, 46.00, 63.00, -3.00, -34.00
2003-10-29, 00:19:00.000, 302, 45.00, 61.00, -3.00, -34.00
2003-10-29, 00:20:00.000, 302, 47.00, 63.00, -3.00, -35.00
2003-10-29, 00:21:00.000, 302, 48.00, 64.00, -2.00, -35.00
2003-10-29, 00:22:00.000, 302, 46.00, 64.00, -2.00, -36.00
2003-10-29, 00:23:00.000, 302, 45.00, 65.00, -3.00, -37.00
2003-10-29, 00:24:00.000, 302, 46.00, 64.00, -3.00, -37.00
2003-10-29, 00:25:00.000, 302, 47.00, 63.00, -3.00, -37.00
2003-10-29, 00:26:00.000, 302, 46.00, 61.00, -2.00, -36.00
2003-10-29, 00:27:00.000, 302, 47.00, 59.00, -2.00, -36.00
2003-10-29, 00:28:00.000, 302, 48.00, 59.00, -2.00, -37.00
2003-10-29, 00:29:00.000, 302, 48.00, 58.00, -2.00, -37.00
