IAGA,GEOLON,GEOLAT,MAGLON,MAGLAT,MLT
GZH,113.34,23.09,-174.75,16.44,1.2
LRM,115,-21,-173.24,-31.73,1.3
BMT,116.2,40.3,-171,34.7,1.45
MUT,121.02,14.37,-167.38,7.21,1.69
TND,124.95,1.29,-163.48,-6.59,1.95
KTN,137.71,75.94,-158.19,70.4,2.31
KAG,130.72,31.48,-157.16,24.8,2.38
KNY,130.88,31.42,-157,24.73,2.39
PPI,131.73,42.98,-155.7,36.69,2.47
KDU,132.47,-12.69,-155.21,-21.81,2.51
ASP,133.88,-23.77,-152.74,-34.04,2.67
HTY,139.8,33.12,-148.49,26.17,2.95
KAK,140.18,36.23,-148.04,29.35,2.98
CHD,147.89,70.62,-146.94,65.13,3.06
ONW,141.47,38.43,-146.8,31.57,3.07
CBI,142.3,27.15,-146.38,19.99,3.09
MSR,142.27,44.37,-146.03,37.66,3.12
WEP,141.88,-12.68,-145.27,-21.42,3.17
MMB,144.19,43.91,-144.33,37.13,3.23
WEW,143.62,-3.55,-144.3,-11.56,3.23
GUA,144.87,13.59,-144.04,6.17,3.25
MGD,150.86,59.97,-140.35,53.9,3.5
CTA,146.3,-20.1,-139.56,-29.11,3.55
CUL,149.58,-30.28,-134.06,-39.82,3.92
LEM,147.5,-42.3,-133.21,-53.23,3.97
PET,158.25,52.97,-133.12,46.49,3.98
CNB,150.7,-34.1,-131.84,-43.83,4.06
DRV,140.01,-66.67,-124.11,-80.5,4.58
MCQ,158.95,-54.5,-111.74,-64.39,5.4
BRW,203.38,71.32,-108.13,70.21,5.64
EYR,172.4,-43.4,-103.47,-50.06,5.95
BET,208.45,66.9,-100,66.55,6.19
API,188.22,-13.8,-97.37,-15.58,6.36
KAV,216.35,70.14,-96.53,71.15,6.42
ARC,214.44,68.12,-96.08,68.83,6.45
CMO,212.14,64.87,-95.41,65.14,6.49
PKR,212.57,65.12,-95.22,65.48,6.5
FYU,214.78,66.56,-94.43,67.33,6.56
GAK,214.87,62.39,-91.43,63.14,6.76
EWA,202,21.32,-90.01,21.37,6.85
HON,202,21.32,-90.01,21.37,6.85
EAG,218.84,64.78,-89.45,66.32,6.89
DAW,220.89,64.05,-87.04,65.99,7.05
SIT,224.67,57.06,-79.4,59.76,7.56
PPT,210.42,-17.57,-74.62,-16.66,7.88
FSP,238.77,61.76,-66.72,67.38,8.41
VIC,236.58,48.52,-63.52,53.73,8.62
YKC,245.52,62.48,-58.76,69.39,8.94
CNL,248.75,65.75,-56.62,73.05,9.08
FRN,240.28,37.09,-56.15,42.98,9.11
MEA,246.65,54.62,-53.74,61.94,9.27
FMC,248.79,56.66,-51.71,64.36,9.41
CBB,254.97,69.12,-50.3,77.08,9.5
TUC,249.27,32.17,-45.16,39.76,9.84
RAL,256.32,58.22,-41.82,67.14,10.07
BOU,254.76,40.14,-40.05,48.93,10.18
RES,265.11,74.69,-39.08,83.08,10.25
DLR,259.08,29.49,-33.4,38.82,10.63
MCM,166.67,-77.85,-32.9,-79.92,10.66
SBA,166.78,-77.85,-32.9,-79.9,10.66
BLC,263.99,64.32,-31.98,73.76,10.72
PIN,263.96,50.2,-28.94,60.33,10.92
GIM,265.36,56.38,-27.68,66.44,11.01
ISL,265.34,53.86,-27.34,64.02,11.03
FCC,265.91,58.76,-27.24,68.75,11.04
LZH,103.85,36.09,176.31,30.58,0.61
IRT,104.45,52.17,177.49,47.48,0.69
PHU,105.95,21.03,177.86,14.17,0.71
