FRD	STJ	CLF	FUR	LVV	NVS	IRT	BMT	PPI	MSR	PET	VIC	FRN	TUC	BOU	DLR	BSL
0	-20	87	87	87	87	88	88	88	-67	-62	-4	0	0	0	0	0
20	0	-29	-33	-36	-48	-48	-32	-29	-29	-24	4	16	15	19	15	17
-87	29	0	-3	-6	-17	-17	0	5	6	7	-99	-87	-87	-88	-87	-87
-87	33	3	0	-2	-13	-12	5	8	9	9	-92	-87	-87	-88	-87	-87
-87	36	6	2	0	-12	-11	8	11	14	15	-91	-87	-86	-87	-86	-86
-87	48	17	13	12	0	0	18	20	20	30	-99	-87	-87	-87	-87	-87
-88	48	17	12	11	0	0	0	0	19	26	-99	-87	-87	-90	-87	-87
-88	32	0	-5	-8	-18	0	0	0	0	0	-99	-88	-87	-90	-87	-87
-88	29	-5	-8	-11	-20	0	0	0	0	0	78	-88	-88	-90	-87	-87
67	29	-6	-9	-14	-20	-19	0	0	0	0	46	65	64	69	63	64
62	24	-7	-9	-15	-30	-26	0	0	0	0	44	46	44	46	42	42
4	-4	99	92	91	99	99	99	-78	-46	-44	0	2	2	2	2	2
0	-16	87	87	87	87	87	88	88	-65	-46	-2	0	0	0	0	0
0	-15	87	87	86	87	87	87	88	-64	-44	-2	0	0	0	0	0
0	-19	88	88	87	87	90	90	90	-69	-46	-2	0	0	0	0	0
0	-15	87	87	86	87	87	87	87	-63	-42	-2	0	0	0	0	0
0	-17	87	87	86	87	87	87	87	-64	-42	-2	0	0	0	0	0
