PBQ	IQA	SVS	STF	AMK	SCO	JAN	BJN	LYR	NOK	TIK	KTN	CHD	BRW	KAV	ARC	FSP	CNL	BLC	RAN
0	-25	-100	-32	-29	-20	-21	11	15	-96	14	0	13	0	2	2	1	3	7	6
25	0	82	0	-2	-3	5	7	13	27	12	11	12	13	33	30	27	27	3	1
100	-82	0	0	52	51	100	-75	-70	9	-75	-85	-78	100	100	100	100	100	100	100
32	0	0	0	0	5	2	5	8	22	20	20	21	32	35	31	27	38	45	39
29	2	-52	0	0	4	2	7	29	27	18	17	18	26	38	32	28	31	32	38
20	3	-51	-5	-4	0	-2	-1	-35	31	14	14	18	20	28	21	19	20	21	20
21	-5	-100	-2	-2	2	0	0	-33	34	9	13	8	21	-11	22	20	21	21	-6
-11	-7	75	-5	-7	1	0	0	3	1	3	4	1	-9	-10	-10	-10	-8	-5	-6
-15	-13	70	-8	-29	35	33	-3	0	-1	-2	-15	-3	-14	14	15	15	-12	-10	-11
96	-27	-9	-22	-27	-31	-34	-1	1	0	-1	-85	-1	95	17	15	95	95	95	95
-14	-12	75	-20	-18	-14	-9	-3	2	1	0	-2	0	-10	14	13	-13	-10	-7	-10
0	-11	85	-20	-17	-14	-13	-4	15	85	2	0	1	0	13	8	0	1	3	-7
-13	-12	78	-21	-18	-18	-8	-1	3	1	0	-1	0	-9	18	15	-12	-9	-4	-7
0	-13	-100	-32	-26	-20	-21	9	14	-95	10	0	9	0	0	0	0	3	5	3
-2	-33	-100	-35	-38	-28	11	10	-14	-17	-14	-13	-18	0	0	0	0	2	4	3
-2	-30	-100	-31	-32	-21	-22	10	-15	-15	-13	-8	-15	0	0	0	0	2	3	3
-1	-27	-100	-27	-28	-19	-20	10	-15	-95	13	0	12	0	0	0	0	2	5	4
-3	-27	-100	-38	-31	-20	-21	8	12	-95	10	-1	9	-3	-2	-2	-2	0	1	0
-7	-3	-100	-45	-32	-21	-21	5	10	-95	7	-3	4	-5	-4	-3	-5	-1	0	-1
-6	-1	-100	-39	-38	-20	6	6	11	-95	10	7	7	-3	-3	-3	-4	0	1	0
