HUA	VRE	KOU	MBO	TAM	BNG	MLT	AAE	ABG	PHU	TND	GUA	API	HON	PPT
1.00	0.93	0.84	0.82	0.81	0.82	0.80	0.81	0.83	0.78	0.79	0.80	0.85	0.84	0.85
0.93	1.00	0.98	0.96	0.94	0.95	0.92	0.93	0.93	0.88	0.90	0.92	0.98	0.98	0.97
0.84	0.98	1.00	0.99	0.98	0.98	0.96	0.96	0.95	0.89	0.90	0.92	0.99	0.99	0.99
0.82	0.96	0.99	1.00	1.00	0.99	0.98	0.99	0.97	0.92	0.92	0.93	0.98	0.99	0.99
0.81	0.94	0.98	1.00	1.00	1.00	0.99	1.00	0.98	0.93	0.93	0.94	0.97	0.97	0.98
0.82	0.95	0.98	0.99	1.00	1.00	0.99	1.00	0.99	0.94	0.94	0.95	0.97	0.97	0.98
0.80	0.92	0.96	0.98	0.99	0.99	1.00	1.00	0.99	0.95	0.94	0.94	0.95	0.95	0.97
0.81	0.93	0.96	0.99	1.00	1.00	1.00	1.00	0.99	0.95	0.94	0.94	0.96	0.96	0.97
0.83	0.93	0.95	0.97	0.98	0.99	0.99	0.99	1.00	0.97	0.96	0.96	0.95	0.95	0.96
0.78	0.88	0.89	0.92	0.93	0.94	0.95	0.95	0.97	1.00	1.00	0.98	0.92	0.90	0.91
0.79	0.90	0.90	0.92	0.93	0.94	0.94	0.94	0.96	1.00	1.00	0.99	0.93	0.90	0.91
0.80	0.92	0.92	0.93	0.94	0.95	0.94	0.94	0.96	0.98	0.99	1.00	0.96	0.93	0.93
0.85	0.98	0.99	0.98	0.97	0.97	0.95	0.96	0.95	0.92	0.93	0.96	1.00	0.99	0.99
0.84	0.98	0.99	0.99	0.97	0.97	0.95	0.96	0.95	0.90	0.90	0.93	0.99	1.00	1.00
0.85	0.97	0.99	0.99	0.98	0.98	0.97	0.97	0.96	0.91	0.91	0.93	0.99	1.00	1.00
