B03	B23	B14	B15	B04	MAW	CZT	PAF	AMS	CSY	LRM	LEM	DRV	MCQ	EYR	SBA
0	189	-218	-236	192	123	-183	215	-208	135	193	193	195	199	193	193
-189	0	8	5	-8	-90	28	-10	27	11	53	53	12	0	45	2
218	-8	0	0	-11	-110	22	-11	18	-10	-58	-58	-14	-8	44	-15
236	-5	0	0	-10	-95	9	-11	20	-11	35	35	-3	-9	38	-6
-192	8	11	10	0	-77	37	0	32	22	62	62	15	-2	49	9
-123	90	110	95	77	0	127	78	109	124	67	68	120	109	131	115
183	-28	-22	-9	-37	-127	0	-35	-12	-15	42	42	-11	-14	5	-16
-215	10	11	11	0	-78	35	0	18	-17	8	8	-11	19	10	0
208	-27	-18	-20	-32	-109	12	-18	0	-22	-7	-7	12	-13	17	-19
-135	-11	10	11	-22	-124	15	17	22	0	63	63	2	1	32	3
-193	-53	58	-35	-62	-67	-42	-8	7	-63	0	0	-27	-58	-4	-30
-193	-53	58	-35	-62	-68	-42	-8	7	-63	0	0	-27	-58	-4	-30
-195	-12	14	3	-15	-120	11	11	-12	-2	27	27	0	0	13	1
-199	0	8	9	2	-109	14	-19	13	-1	58	58	0	0	36	0
-193	-45	-44	-38	-49	-131	-5	-10	-17	-32	4	4	-13	-36	0	-10
-193	-2	15	6	-9	-115	16	0	19	-3	30	30	-1	0	10	0
