PBQ	IQA	SVS	STF	AMK	SCO	JAN	BJN	LYR	NOK	KTN	CHD	BRW	KAV	ARC	FSP	CNL	BLC
1.00	0.84	0.81	0.78	0.78	0.70	0.68	0.75	0.77	0.87	0.72	0.83	0.50	0.10	0.59	0.65	0.59	0.79
0.84	1.00	0.99	0.98	0.97	0.92	0.89	0.93	0.94	0.90	0.71	0.90	0.71	0.11	0.55	0.61	0.79	0.96
0.81	0.99	1.00	0.98	0.98	0.94	0.91	0.95	0.95	0.87	0.70	0.88	0.73	0.13	0.59	0.65	0.80	0.95
0.78	0.98	0.98	1.00	0.99	0.96	0.94	0.96	0.96	0.83	0.66	0.85	0.77	0.11	0.64	0.66	0.80	0.92
0.78	0.97	0.98	0.99	1.00	0.94	0.94	0.95	0.95	0.84	0.68	0.87	0.78	0.12	0.64	0.65	0.82	0.92
0.70	0.92	0.94	0.96	0.94	1.00	0.98	0.96	0.95	0.74	0.72	0.77	0.76	0.11	0.68	0.75	0.75	0.85
0.68	0.89	0.91	0.94	0.94	0.98	1.00	0.96	0.94	0.73	0.72	0.76	0.75	0.10	0.70	0.74	0.79	0.82
0.75	0.93	0.95	0.96	0.95	0.96	0.96	1.00	0.99	0.75	0.68	0.80	0.76	0.13	0.70	0.70	0.74	0.86
0.77	0.94	0.95	0.96	0.95	0.95	0.94	0.99	1.00	0.77	0.66	0.81	0.77	0.13	0.69	0.68	0.74	0.88
0.87	0.90	0.87	0.83	0.84	0.74	0.73	0.75	0.77	1.00	0.84	0.93	0.60	0.13	0.65	0.73	0.69	0.89
0.72	0.71	0.70	0.66	0.68	0.72	0.72	0.68	0.66	0.84	1.00	0.84	0.60	0.20	0.75	0.82	0.60	0.69
0.83	0.90	0.88	0.85	0.87	0.77	0.76	0.80	0.81	0.93	0.84	1.00	0.70	0.15	0.70	0.74	0.70	0.87
0.50	0.71	0.73	0.77	0.78	0.76	0.75	0.76	0.77	0.60	0.60	0.70	1.00	0.29	0.78	0.64	0.64	0.62
0.10	0.11	0.13	0.11	0.12	0.11	0.10	0.13	0.13	0.13	0.20	0.15	0.29	1.00	0.44	0.17	0.12	0.12
0.59	0.55	0.59	0.64	0.64	0.68	0.70	0.70	0.69	0.65	0.75	0.70	0.78	0.44	1.00	0.81	0.63	0.51
0.65	0.61	0.65	0.66	0.65	0.75	0.74	0.70	0.68	0.73	0.82	0.74	0.64	0.17	0.81	1.00	0.70	0.61
0.59	0.79	0.80	0.80	0.82	0.75	0.79	0.74	0.74	0.69	0.60	0.70	0.64	0.12	0.63	0.70	1.00	0.88
0.79	0.96	0.95	0.92	0.92	0.85	0.82	0.86	0.88	0.89	0.69	0.87	0.62	0.12	0.51	0.61	0.88	1.00
