Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2003-10-29T00:00:00,60,VIC,236.58,48.52,-63.52,53.73,15.07,36.27,18.78,81.68,-32.0,3.9,30.2,-31.6,-6.6,30.2
2003-10-29T00:01:00,60,VIC,236.58,48.52,-63.52,53.73,15.09,36.27,18.78,81.83,-30.0,4.2,31.2,-29.7,-5.7,31.2
2003-10-29T00:02:00,60,VIC,236.58,48.52,-63.52,53.73,15.11,36.27,18.78,81.97,-27.0,4.2,32.1,-26.9,-4.7,32.1
2003-10-29T00:03:00,60,VIC,236.58,48.52,-63.52,53.73,15.12,36.27,18.78,82.11,-22.7,1.6,34.0,-22.0,-5.8,34.0
2003-10-29T00:04:00,60,VIC,236.58,48.52,-63.52,53.73,15.14,36.27,18.78,82.26,-16.5,-1.6,36.9,-15.1,-6.9,36.9
2003-10-29T00:05:00,60,VIC,236.58,48.52,-63.52,53.73,15.16,36.27,18.78,82.40,-16.1,-2.9,37.8,-14.3,-7.9,37.8
2003-10-29T00:06:00,60,VIC,236.58,48.52,-63.52,53.73,15.17,36.27,18.78,82.54,-16.9,-4.8,37.7,-14.4,-10.0,37.7
2003-10-29T00:07:00,60,VIC,236.58,48.52,-63.52,53.73,15.19,36.27,18.78,82.69,-17.0,-1.7,36.7,-15.6,-7.1,36.7
2003-10-29T00:08:00,60,VIC,236.58,48.52,-63.52,53.73,15.21,36.27,18.78,82.83,-20.3,1.4,35.6,-19.7,-5.2,35.6
2003-10-29T00:09:00,60,VIC,236.58,48.52,-63.52,53.73,15.22,36.27,18.78,82.98,-21.4,1.7,35.5,-20.8,-5.3,35.5
2003-10-29T00:10:00,60,VIC,236.58,48.52,-63.52,53.73,15.24,36.27,18.78,83.12,-26.3,3.3,33.4,-26.0,-5.4,33.4
2003-10-29T00:11:00,60,VIC,236.58,48.52,-63.52,53.73,15.26,36.27,18.78,83.27,-26.4,3.3,34.3,-26.1,-5.4,34.3
2003-10-29T00:12:00,60,VIC,236.58,48.52,-63.52,53.73,15.27,36.27,18.78,83.41,-29.7,6.4,32.3,-30.2,-3.5,32.3
2003-10-29T00:13:00,60,VIC,236.58,48.52,-63.52,53.73,15.29,36.27,18.78,83.56,-39.7,8.6,30.2,-40.3,-4.6,30.2
2003-10-29T00:14:00,60,VIC,236.58,48.52,-63.52,53.73,15.31,36.27,18.78,83.70,-20.3,-2.2,38.1,-18.5,-8.6,38.1
2003-10-29T00:15:00,60,VIC,236.58,48.52,-63.52,53.73,15.32,36.27,18.78,83.85,-14.4,-3.2,40.0,-12.6,-7.7,40.0
2003-10-29T00:16:00,60,VIC,236.58,48.52,-63.52,53.73,15.34,36.27,18.78,84.00,-14.9,-4.2,39.9,-12.7,-8.8,39.9
2003-10-29T00:17:00,60,VIC,236.58,48.52,-63.52,53.73,15.36,36.27,18.78,84.14,-14.7,-3.3,38.9,-12.8,-7.8,38.9
2003-10-29T00:18:00,60,VIC,236.58,48.52,-63.52,53.73,15.37,36.27,18.78,84.29,-13.5,-2.7,38.8,-11.9,-6.9,38.8
2003-10-29T00:19:00,60,VIC,236.58,48.52,-63.52,53.73,15.39,36.27,18.78,84.44,-11.5,-5.6,39.7,-9.1,-9.0,39.7
2003-10-29T00:20:00,60,VIC,236.58,48.52,-63.52,53.73,15.41,36.27,18.78,84.58,-17.0,-2.8,37.7,-15.2,-8.1,37.7
2003-10-29T00:21:00,60,VIC,236.58,48.52,-63.52,53.73,15.42,36.27,18.78,84.73,-19.3,-3.1,36.6,-17.3,-9.2,36.6
2003-10-29T00:22:00,60,VIC,236.58,48.52,-63.52,53.73,15.44,36.27,18.78,84.88,-19.4,-3.1,36.5,-17.4,-9.2,36.5
2003-10-29T00:23:00,60,VIC,236.58,48.52,-63.52,53.73,15.46,36.27,18.78,85.03,-22.1,-4.4,35.5,-19.5,-11.3,35.5
2003-10-29T00:24:00,60,VIC,236.58,48.52,-63.52,53.73,15.47,36.27,18.78,85.18,-21.3,-4.8,36.4,-18.6,-11.4,36.4
2003-10-29T00:25:00,60,VIC,236.58,48.52,-63.52,53.73,15.49,36.27,18.78,85.33,-20.5,-5.1,36.3,-17.7,-11.4,36.3
2003-10-29T00:26:00,60,VIC,236.58,48.52,-63.52,53.73,15.51,36.27,18.78,85.47,-19.3,-4.5,36.3,-16.8,-10.5,36.3
2003-10-29T00:27:00,60,VIC,236.58,48.52,-63.52,53.73,15.52,36.27,18.78,85.62,-16.6,-5.5,37.2,-13.9,-10.6,37.2
2003-10-29T00:28:00,60,VIC,236.58,48.52,-63.52,53.73,15.54,36.27,18.78,85.77,-16.7,-5.5,38.1,-14.0,-10.6,38.1
2003-10-29T00:29:00,60,VIC,236.58,48.52,-63.52,53.73,15.56,36.27,18.78,85.92,-16.2,-6.8,38.1,-13.1,-11.7,38.1
2003-10-29T00:30:00,60,VIC,236.58,48.52,-63.52,53.73,15.58,36.27,18.78,86.07,-17.3,-6.5,38.0,-14.2,-11.8,38.0
2003-10-29T00:31:00,60,VIC,236.58,48.52,-63.52,53.73,15.59,36.27,18.78,86.22,-18.3,-6.3,37.0,-15.3,-11.8,37.0
2003-10-29T00:32:00,60,VIC,236.58,48.52,-63.52,53.73,15.61,36.27,18.78,86.37,-19.4,-6.0,36.9,-16.4,-11.9,36.9
2003-10-29T00:33:00,60,VIC,236.58,48.52,-63.52,53.73,15.63,36.27,18.78,86.52,-18.5,-6.3,37.9,-15.5,-11.9,37.9
2003-10-29T00:34:00,60,VIC,236.58,48.52,-63.52,53.73,15.64,36.27,18.78,86.68,-15.5,-9.5,39.8,-11.6,-14.0,39.8
2003-10-29T00:35:00,60,VIC,236.58,48.52,-63.52,53.73,15.66,36.27,18.78,86.83,-17.1,-8.0,38.8,-13.7,-13.1,38.8
2003-10-29T00:36:00,60,VIC,236.58,48.52,-63.52,53.73,15.68,36.27,18.78,86.98,-20.1,-7.0,37.8,-16.8,-13.1,37.8
2003-10-29T00:37:00,60,VIC,236.58,48.52,-63.52,53.73,15.69,36.27,18.78,87.13,-22.1,-6.4,36.7,-18.8,-13.2,36.7
2003-10-29T00:38:00,60,VIC,236.58,48.52,-63.52,53.73,15.71,36.27,18.78,87.28,-22.2,-6.4,36.7,-18.9,-13.2,36.7
2003-10-29T00:39:00,60,VIC,236.58,48.52,-63.52,53.73,15.73,36.27,18.78,87.43,-24.8,-4.6,35.6,-22.0,-12.3,35.6
2003-10-29T00:40:00,60,VIC,236.58,48.52,-63.52,53.73,15.75,36.27,18.78,87.59,-23.6,-7.1,36.6,-20.1,-14.4,36.6
2003-10-29T00:41:00,60,VIC,236.58,48.52,-63.52,53.73,15.76,36.27,18.78,87.74,-21.2,-5.9,36.6,-18.1,-12.4,36.6
2003-10-29T00:42:00,60,VIC,236.58,48.52,-63.52,53.73,15.78,36.27,18.78,87.89,-21.6,-3.7,36.5,-19.2,-10.5,36.5
2003-10-29T00:43:00,60,VIC,236.58,48.52,-63.52,53.73,15.80,36.27,18.78,88.04,-22.6,-3.4,36.5,-20.3,-10.5,36.5
2003-10-29T00:44:00,60,VIC,236.58,48.52,-63.52,53.73,15.81,36.27,18.78,88.20,-24.3,-5.0,35.5,-21.4,-12.6,35.5
2003-10-29T00:45:00,60,VIC,236.58,48.52,-63.52,53.73,15.83,36.27,18.78,88.35,-25.3,-4.7,35.4,-22.4,-12.6,35.4
2003-10-29T00:46:00,60,VIC,236.58,48.52,-63.52,53.73,15.85,36.27,18.78,88.50,-26.9,-3.2,34.4,-24.5,-11.7,34.4
2003-10-29T00:47:00,60,VIC,236.58,48.52,-63.52,53.73,15.87,36.27,18.78,88.66,-31.4,-0.7,32.4,-29.6,-10.7,32.4
2003-10-29T00:48:00,60,VIC,236.58,48.52,-63.52,53.73,15.88,36.27,18.78,88.81,-34.0,1.2,31.3,-32.6,-9.8,31.3
2003-10-29T00:49:00,60,VIC,236.58,48.52,-63.52,53.73,15.90,36.27,18.78,88.97,-36.0,1.8,31.3,-34.7,-9.9,31.3
2003-10-29T00:50:00,60,VIC,236.58,48.52,-63.52,53.73,15.92,36.27,18.78,89.12,-37.7,3.4,30.3,-36.8,-8.9,30.3
2003-10-29T00:51:00,60,VIC,236.58,48.52,-63.52,53.73,15.93,36.27,18.78,89.27,-38.4,4.6,30.3,-37.8,-8.0,30.3
2003-10-29T00:52:00,60,VIC,236.58,48.52,-63.52,53.73,15.95,36.27,18.78,89.43,-40.0,6.2,29.2,-39.9,-7.0,29.2
2003-10-29T00:53:00,60,VIC,236.58,48.52,-63.52,53.73,15.97,36.27,18.78,89.58,-40.4,8.4,29.2,-41.0,-5.1,29.2
2003-10-29T00:54:00,60,VIC,236.58,48.52,-63.52,53.73,15.99,36.27,18.78,89.74,-40.2,9.3,29.2,-41.0,-4.1,29.2
2003-10-29T00:55:00,60,VIC,236.58,48.52,-63.52,53.73,16.00,36.27,18.78,89.90,-39.3,9.0,30.2,-40.1,-4.2,30.2
2003-10-29T00:56:00,60,VIC,236.58,48.52,-63.52,53.73,16.02,36.27,18.78,90.05,-38.4,8.6,30.1,-39.1,-4.2,30.1
2003-10-29T00:57:00,60,VIC,236.58,48.52,-63.52,53.73,16.04,36.27,18.78,90.21,-36.9,7.0,31.1,-37.2,-5.2,31.1
2003-10-29T00:58:00,60,VIC,236.58,48.52,-63.52,53.73,16.06,36.27,18.78,90.36,-35.7,4.4,31.1,-35.3,-7.3,31.1
2003-10-29T00:59:00,60,VIC,236.58,48.52,-63.52,53.73,16.07,36.27,18.78,90.52,-35.8,4.4,31.1,-35.3,-7.3,31.1
2003-10-29T01:00:00,60,VIC,236.58,48.52,-63.52,53.73,16.09,36.27,18.78,90.67,-36.2,3.5,31.1,-35.4,-8.4,31.1
2003-10-29T01:01:00,60,VIC,236.58,48.52,-63.52,53.73,16.11,36.27,18.78,90.83,-37.2,3.7,30.0,-36.4,-8.4,30.0
2003-10-29T01:02:00,60,VIC,236.58,48.52,-63.52,53.73,16.13,36.27,18.78,90.99,-41.1,5.0,28.0,-40.5,-8.5,28.0
2003-10-29T01:03:00,60,VIC,236.58,48.52,-63.52,53.73,16.14,36.27,18.78,91.14,-44.0,5.9,27.0,-43.6,-8.5,27.0
2003-10-29T01:04:00,60,VIC,236.58,48.52,-63.52,53.73,16.16,36.27,18.78,91.30,-43.1,5.6,28.0,-42.6,-8.6,28.0
2003-10-29T01:05:00,60,VIC,236.58,48.52,-63.52,53.73,16.18,36.27,18.78,91.46,-41.6,4.0,28.0,-40.7,-9.6,28.0
2003-10-29T01:06:00,60,VIC,236.58,48.52,-63.52,53.73,16.20,36.27,18.78,91.62,-39.8,3.3,29.0,-38.7,-9.7,29.0
