Date_UTC,SME,SML,SMU
2003-10-29 00:00:00,1005,-582,423
2003-10-29 00:01:00,999,-574,426
2003-10-29 00:02:00,994,-591,403
2003-10-29 00:03:00,1088,-642,446
2003-10-29 00:04:00,1136,-694,442
2003-10-29 00:05:00,1072,-657,415
2003-10-29 00:06:00,1075,-674,401
2003-10-29 00:07:00,1141,-664,476
2003-10-29 00:08:00,1165,-650,515
2003-10-29 00:09:00,1191,-652,539
2003-10-29 00:10:00,1214,-630,583
2003-10-29 00:11:00,1215,-659,556
2003-10-29 00:12:00,1208,-679,529
2003-10-29 00:13:00,1228,-681,547
2003-10-29 00:14:00,1169,-696,473
2003-10-29 00:15:00,1100,-740,361
2003-10-29 00:16:00,1155,-745,410
2003-10-29 00:17:00,1216,-782,435
2003-10-29 00:18:00,1233,-775,458
2003-10-29 00:19:00,1111,-662,448
2003-10-29 00:20:00,1083,-657,425
2003-10-29 00:21:00,1027,-630,397
2003-10-29 00:22:00,1026,-582,444
2003-10-29 00:23:00,1078,-541,538
2003-10-29 00:24:00,1101,-517,584
2003-10-29 00:25:00,1073,-526,547
2003-10-29 00:26:00,1049,-539,511
2003-10-29 00:27:00,1012,-546,466
2003-10-29 00:28:00,1035,-569,466
2003-10-29 00:29:00,1046,-570,476
2003-10-29 00:30:00,1004,-558,445
2003-10-29 00:31:00,1011,-566,444
2003-10-29 00:32:00,1059,-579,480
2003-10-29 00:33:00,1087,-598,489
2003-10-29 00:34:00,1069,-613,456
2003-10-29 00:35:00,1040,-586,454
2003-10-29 00:36:00,965,-520,444
2003-10-29 00:37:00,960,-517,442
2003-10-29 00:38:00,997,-531,466
2003-10-29 00:39:00,995,-526,469
2003-10-29 00:40:00,913,-496,417
2003-10-29 00:41:00,979,-530,449
2003-10-29 00:42:00,982,-541,441
2003-10-29 00:43:00,923,-522,401
2003-10-29 00:44:00,845,-503,342
2003-10-29 00:45:00,853,-516,337
2003-10-29 00:46:00,864,-521,343
2003-10-29 00:47:00,847,-506,340
2003-10-29 00:48:00,867,-502,365
