IAGA,GEOLON,GEOLAT,MAGLON,MAGLAT,MLT
CSY,110.53,-66.28,156.87,-80.78,11.13
DRV,140.01,-66.67,-124.11,-80.5,16.4
MCM,166.67,-77.85,-32.9,-79.92,22.48
SBA,166.78,-77.85,-32.9,-79.9,22.48
B20,95.98,-85.36,30.09,-77.75,2.68
B22,68.17,-86.51,30.66,-75.54,2.72
B21,28.41,-87,28.91,-73.39,2.6
B23,316.13,-88.03,19.78,-72.18,1.99
B19,2.06,-85.36,29.96,-71.17,2.67
MAW,62.88,-67.61,90.27,-70.25,6.69
B18,336.14,-84.35,25.78,-69.17,2.39
B15,2.97,-81.49,36.66,-68.6,3.12
B17,347.76,-82.9,30.3,-68.53,2.69
B14,337.74,-80.89,28.8,-66.31,2.59
B04,41.08,-68.58,73.64,-66.18,5.58
B12,335.88,-79.08,29.1,-64.7,2.61
MCQ,158.95,-54.5,-111.74,-64.39,17.23
B11,336.58,-77.51,30.11,-63.47,2.68
PAF,70.26,-49.35,122.32,-58.57,8.83
LEM,147.5,-42.3,-133.21,-53.23,15.79
CZT,51.87,-46.43,106.22,-53.2,7.76
B03,291.88,-67.57,7.64,-52.47,1.18
AIA,295.74,-65.25,9.11,-50.28,1.28
EYR,172.4,-43.4,-103.47,-50.06,17.78
AMS,77.57,-37.8,138.9,-49.14,9.93
KAT,117.62,-33.68,-171.03,-46.09,13.27
CNB,150.7,-34.1,-131.84,-43.83,15.89
HER,19.23,-34.43,82.83,-42.28,6.2
CUL,149.58,-30.28,-134.06,-39.82,15.74
PNT,289.1,-53.2,2.75,-38.7,0.86
PST,302.11,-51.7,10.5,-38.31,1.37
HBK,27.71,-25.88,95.28,-35.96,7.03
LMM,32.58,-25.92,100.12,-35.87,7.35
ASP,133.88,-23.77,-152.74,-34.04,14.49
LRM,115,-21,-173.24,-31.73,13.13
TSU,17.7,-19.22,86.99,-30.48,6.47
