IAGA,GEOLON,GEOLAT,MAGLON,MAGLAT,MLT
TRW,294.68,-43.25,4.91,-29.77,13.18
CTA,146.3,-20.1,-139.56,-29.11,3.55
TAN,47.55,-18.92,116.86,-28.71,20.64
PAC,289.91,-40.34,1.52,-26.69,12.95
OSO,286.91,-40.34,-0.49,-26.59,12.82
VLD,286.86,-39.48,-0.62,-25.78,12.81
KDU,132.47,-12.69,-155.21,-21.81,2.51
WEP,141.88,-12.68,-145.27,-21.42,3.17
CER,289.4,-33.45,0.67,-20.22,12.9
VSS,316.35,-22.4,23.13,-17.96,14.4
SER,288.87,-30,0.13,-16.93,12.86
PPT,210.42,-17.57,-74.62,-16.66,7.88
API,188.22,-13.8,-97.37,-15.58,6.36
ASC,345.62,-7.95,56.11,-15.2,16.59
WEW,143.62,-3.55,-144.3,-11.56,3.23
BNG,18.57,4.33,90.32,-7.75,18.87
TND,124.95,1.29,-163.48,-6.59,1.95
PUT,290.5,-18.33,1.56,-5.93,12.96
VRE,292.38,-17.28,3.29,-5.19,13.07
HUA,284.67,-12.05,-3.57,0.4,12.61
AAE,38.77,9.03,110.68,0.42,20.23
MBO,343.03,14.38,57.82,1.31,16.71
GUA,144.87,13.59,-144.04,6.17,3.25
MUT,121.02,14.37,-167.38,7.21,1.69
TAM,5.53,22.79,78.33,9.43,18.07
KOU,307.27,5.21,23.53,9.45,14.42
ABG,72.87,18.62,145.39,12.09,22.55
PHU,105.95,21.03,177.86,14.17,0.71
GZH,113.34,23.09,-174.75,16.44,1.2
CBI,142.3,27.15,-146.38,19.99,3.09
EWA,202,21.32,-90.01,21.37,6.85
HON,202,21.32,-90.01,21.37,6.85
MLT,30.89,29.52,102.5,21.93,19.69
ELT,34.95,29.67,106.57,22.73,19.96
KNY,130.88,31.42,-157,24.73,2.39
KAG,130.72,31.48,-157.16,24.8,2.38
HTY,139.8,33.12,-148.49,26.17,2.95
SJG,293.85,18.11,10.68,27.69,13.57
QSB,35.64,33.87,107.42,27.75,20.01
KAK,140.18,36.23,-148.04,29.35,2.98
LZH,103.85,36.09,176.31,30.58,0.61
ONW,141.47,38.43,-146.8,31.57,3.07
SPT,355.65,39.55,71.88,32.06,17.64
EBR,0.49,40.82,76.07,33.86,17.92
BMT,116.2,40.3,-171,34.7,1.45
