DRV	LEM	ASP	KDU	WEP	WEW	GUA	CBI	KAG	HTY	KAK	ONW	RIK	MSR	MGD	CHD
0	-73	-13	-70	87	87	-67	87	-68	86	86	86	86	-71	64	-77
73	0	0	0	0	0	0	0	0	0	0	0	0	0	-35	-1
13	0	0	-33	-33	-33	-31	-33	-45	-57	-62	-62	-61	-59	76	-60
70	0	33	0	0	0	0	0	0	0	0	0	0	0	-35	-6
-87	0	33	0	0	0	0	0	0	0	0	0	0	0	-35	-6
-87	0	33	0	0	0	0	0	0	0	0	0	0	0	-35	-18
67	0	31	0	0	0	0	0	0	0	0	0	0	0	-35	-22
-87	0	33	0	0	0	0	0	0	0	0	0	0	0	-35	-18
68	0	45	0	0	0	0	0	0	0	0	0	0	0	-35	-7
-86	0	57	0	0	0	0	0	0	0	0	0	0	0	-35	-6
-86	0	62	0	0	0	0	0	0	0	0	0	0	0	-35	-5
-86	0	62	0	0	0	0	0	0	0	0	0	0	0	-35	-5
-86	0	61	0	0	0	0	0	0	0	0	0	0	0	-35	-4
71	0	59	0	0	0	0	0	0	0	0	0	0	0	-35	-5
-64	35	-76	35	35	35	35	35	35	35	35	35	35	35	0	8
77	1	60	6	6	18	22	18	7	6	5	5	4	5	-8	0
