FRD	STJ	CLF	FUR	LVV	NVS	IRT	BMT	PPI	MSR	PET	VIC	FRN	TUC	BOU	DLR	BSL
1.00	0.39	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.05	0.13	0.93	0.99	0.99	1.00	0.99	0.99
0.39	1.00	0.65	0.65	0.67	0.70	0.59	0.50	0.48	0.53	0.58	0.41	0.39	0.39	0.38	0.40	0.40
0.00	0.65	1.00	0.99	0.98	0.94	0.90	0.93	0.92	0.91	0.83	0.00	0.00	0.01	0.00	0.01	0.01
0.00	0.65	0.99	1.00	0.99	0.95	0.91	0.93	0.92	0.91	0.82	0.00	0.00	0.01	0.00	0.01	0.01
0.00	0.67	0.98	0.99	1.00	0.96	0.91	0.93	0.91	0.90	0.82	0.00	0.00	0.00	0.00	0.00	0.01
0.00	0.70	0.94	0.95	0.96	1.00	0.96	0.90	0.87	0.85	0.77	0.00	0.00	0.00	0.00	0.00	0.01
0.00	0.59	0.90	0.91	0.91	0.96	1.00	0.92	0.88	0.86	0.76	0.00	0.01	0.01	0.00	0.01	0.01
0.01	0.50	0.93	0.93	0.93	0.90	0.92	1.00	0.99	0.97	0.83	0.00	0.01	0.01	0.00	0.01	0.01
0.01	0.48	0.92	0.92	0.91	0.87	0.88	0.99	1.00	0.99	0.88	0.00	0.01	0.01	0.00	0.01	0.02
0.05	0.53	0.91	0.91	0.90	0.85	0.86	0.97	0.99	1.00	0.93	0.05	0.04	0.04	0.04	0.04	0.04
0.13	0.58	0.83	0.82	0.82	0.77	0.76	0.83	0.88	0.93	1.00	0.20	0.15	0.16	0.14	0.16	0.15
0.93	0.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.20	1.00	0.96	0.95	0.95	0.95	0.94
0.99	0.39	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.04	0.15	0.96	1.00	1.00	1.00	1.00	1.00
0.99	0.39	0.01	0.01	0.00	0.00	0.01	0.01	0.01	0.04	0.16	0.95	1.00	1.00	1.00	1.00	1.00
1.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.14	0.95	1.00	1.00	1.00	0.99	1.00
0.99	0.40	0.01	0.01	0.00	0.00	0.01	0.01	0.01	0.04	0.16	0.95	1.00	1.00	0.99	1.00	1.00
0.99	0.40	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.04	0.15	0.94	1.00	1.00	1.00	1.00	1.00
