B03	B23	B14	B15	B04	MAW	CZT	PAF	AMS	CSY	KAT	LEM	DRV	MCQ	EYR	SBA
0	-13	-39	-35	-45	70	-34	-51	-50	28	63	0	66	-35	46	73
13	0	1	-1	-28	76	3	-38	-17	81	76	8	79	8	62	79
39	-1	0	0	-9	80	1	-46	-6	83	-87	8	-85	26	100	100
35	1	0	0	-8	77	3	-43	-10	82	79	6	80	25	79	80
45	28	9	8	0	-61	12	-9	-3	-72	-56	12	-45	26	84	83
-70	-76	-80	-77	61	0	-85	44	-98	-13	0	-70	11	-49	1	2
34	-3	-1	-3	-12	85	0	-44	-15	99	-87	5	-85	5	99	99
51	38	46	43	9	-44	44	0	2	-17	-4	50	-28	-47	-39	-38
50	17	6	10	3	98	15	-2	0	100	-57	0	-87	23	100	100
-28	-81	-83	-82	72	13	-99	17	-100	0	16	-75	-12	-30	15	0
-63	-76	87	-79	56	0	87	4	57	-16	0	-68	-21	-50	-22	0
0	-8	-8	-6	-12	70	-5	-50	0	75	68	0	73	19	64	73
-66	-79	85	-80	45	-11	85	28	87	12	21	-73	0	-51	-5	-2
35	-8	-26	-25	-26	49	-5	47	-23	30	50	-19	51	0	46	54
-46	-62	-100	-79	-84	-1	-99	39	-100	-15	22	-64	5	-46	0	0
-73	-79	-100	-80	-83	-2	-99	38	-100	0	0	-73	2	-54	0	0
