DRV	ASP	CTA	KDU	WEP	WEW	GUA	CBI	KAG	HTY	KAK	ONW	MSR	MGD	CHD	KTN
0	30	28	26	26	24	21	21	27	26	24	26	30	18	-26	-2
-30	0	0	0	0	0	0	0	0	0	0	0	0	-1	-62	-64
-28	0	0	0	0	0	0	0	0	0	0	0	0	0	-62	-64
-26	0	0	0	0	0	0	0	0	0	0	0	0	0	-58	-64
-26	0	0	0	0	0	0	0	0	0	0	0	0	0	-57	-64
-24	0	0	0	0	0	0	0	0	0	0	0	0	0	-57	-64
-21	0	0	0	0	0	0	0	0	0	0	0	0	0	-57	-64
-21	0	0	0	0	0	0	0	0	0	0	0	0	0	-58	-64
-27	0	0	0	0	0	0	0	0	0	0	0	0	0	-58	-63
-26	0	0	0	0	0	0	0	0	0	0	0	0	0	-58	-63
-24	0	0	0	0	0	0	0	0	0	0	0	0	0	-58	-64
-26	0	0	0	0	0	0	0	0	0	0	0	0	0	-58	-64
-30	0	0	0	0	0	0	0	0	0	0	0	0	-1	-62	-64
-18	1	0	0	0	0	0	0	0	0	0	0	1	0	-56	62
26	62	62	58	57	57	57	58	58	58	58	58	62	56	0	2
2	64	64	64	64	64	64	64	63	63	64	64	64	-62	-2	0
