FRD	STJ	CLF	FUR	LVV	NVS	IRT	BMT	PPI	MSR	PET	VIC	FRN	TUC	BOU	DLR
0	-48	124	123	120	137	154	155	161	163	154	83	121	120	83	120
48	0	245	245	245	242	242	242	242	242	242	139	242	242	198	245
-124	-245	0	0	0	0	0	0	0	36	37	-32	0	0	-38	0
-123	-245	0	0	0	0	0	0	0	38	39	-30	0	0	-36	0
-120	-245	0	0	0	-16	-41	-42	36	45	47	-25	0	0	-24	0
-137	-242	0	0	16	0	-1	0	0	0	0	-51	-7	0	-50	-41
-154	-242	0	0	41	1	0	0	0	0	-5	-47	0	54	61	55
-155	-242	0	0	42	0	0	0	0	0	0	-47	-7	55	-50	55
-161	-242	0	0	-36	0	0	0	0	0	0	-52	-20	-43	-51	-48
-163	-242	-36	-38	-45	0	0	0	0	0	0	-67	-36	-52	-63	-52
-154	-242	-37	-39	-47	0	5	0	0	0	0	-69	-35	-50	-56	-51
-83	-139	32	30	25	51	47	47	52	67	69	0	30	25	0	22
-121	-242	0	0	0	7	0	7	20	36	35	-30	0	0	-32	0
-120	-242	0	0	0	0	-54	-55	43	52	50	-25	0	0	-12	0
-83	-198	38	36	24	50	-61	50	51	63	56	0	32	12	0	6
-120	-245	0	0	0	41	-55	-55	48	52	51	-22	0	0	-6	0
