YR,MO,DA,HHMM,Day,Day_1,S,Bx,By,Bz,Bt,Lat,Long
2003,10,29,509,52941,18540,0,7.9,-2.3,4.7,9.5,29.9,343.7
2003,10,29,510,52941,18600,0,8.9,-3.3,0.8,9.6,4.7,339.8
2003,10,29,511,52941,18660,0,8.7,-3.4,0.9,9.4,5.5,338.8
2003,10,29,512,52941,18720,0,8.8,-2.1,-0.1,9.1,-0.8,346.9
2003,10,29,513,52941,18780,0,8.9,-2,-0.2,9.1,-1.5,347.5
2003,10,29,514,52941,18840,0,8.8,-3.2,1.4,9.5,8.6,339.8
2003,10,29,515,52941,18900,0,9,-3,1.2,9.6,7.3,341.8
2003,10,29,516,52941,18960,0,9.3,-3.2,2.1,10.1,12.2,341
2003,10,29,517,52941,19020,0,9.3,-3.2,2,10,11.7,340.9
2003,10,29,518,52941,19080,0,9,-3,2.8,9.9,16.8,341.6
2003,10,29,519,52941,19140,0,8.3,-3.7,3.9,9.9,23.2,336.1
2003,10,29,520,52941,19200,0,7.9,-3.7,5,10.1,29.7,334.6
2003,10,29,521,52941,19260,0,8.6,-3.4,3.8,10.1,22.4,338.2
2003,10,29,522,52941,19320,0,8.2,-4.5,4.9,10.5,27.6,331
2003,10,29,523,52941,19380,0,8.4,-4.9,2.6,10,15.2,329.8
2003,10,29,524,52941,19440,0,8.9,-4,1.9,10,10.7,336.1
2003,10,29,525,52941,19500,0,7.1,-4.7,4.2,9.5,26,326.8
2003,10,29,526,52941,19560,0,7.9,-4,3.2,9.4,19.8,333.1
2003,10,29,527,52941,19620,0,9.2,-2.3,2.2,9.7,12.9,346.1
2003,10,29,528,52941,19680,0,8,-1.7,5.9,10.1,36.1,348.2
2003,10,29,529,52941,19740,0,8.5,-2.1,5,10.1,29.5,345.9
2003,10,29,530,52941,19800,0,9.4,-2.7,3.8,10.5,21.2,343.9
2003,10,29,531,52941,19860,0,9.2,-2.3,4.4,10.5,24.6,345.8
2003,10,29,532,52941,19920,0,9.6,-3.8,4.6,11.3,24.1,338.6
2003,10,29,533,52941,19980,0,9.1,-3.2,4.2,10.5,23.7,340.4
2003,10,29,534,52941,20040,0,5.8,-7,2,9.3,12.6,309.9
