Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2003-10-29T08:14:00,60,AAE,38.77,9.03,110.68,0.42,11.19,89.58,1.56,26.18,-185,36.5,8.5,-185.9,31.4,8.5
2003-10-29T08:14:00,60,ABG,72.87,18.62,145.39,12.09,13.5,77.91,-0.95,37.79,-105.1,31.7,-7.3,-104.6,33.5,-7.3
2003-10-29T08:14:00,60,ABK,18.82,68.35,101.53,65.31,10.58,24.69,5.57,85.17,-606.9,166.6,91,-620.3,106.9,91
2003-10-29T08:14:00,60,AIA,295.74,-65.25,9.11,-50.28,4.42,140.28,16.77,88.47,-91.2,-74.2,226,-65.9,-97.4,226
2003-10-29T08:14:00,60,ALE,297.5,82.5,94,87.16,10.08,2.84,-64.85,106.41,769.3,206.1,513,513.4,-608.8,513
2003-10-29T08:14:00,60,AMK,322.37,65.6,53.63,69.05,7.39,20.95,-27.96,102.17,-873.9,12.1,522.7,-766.2,420.4,522.7
2003-10-29T08:14:00,60,AMS,77.57,-37.8,138.9,-49.14,13.07,139.14,-39.11,33.11,-131,-18.4,9.1,-113.3,68.4,9.1
2003-10-29T08:14:00,60,AND,16.03,69.3,100.1,66.45,10.48,23.55,4.01,86.52,-565.7,246.9,749.6,-581.6,206.8,749.6
2003-10-29T08:14:00,60,API,188.22,-13.8,-97.37,-15.58,21.32,105.58,11.45,128.47,-110.8,-5.9,10.4,-107.4,-27.8,10.4
2003-10-29T08:14:00,60,AQU,13.32,42.38,87.29,36.34,9.63,53.66,1.76,66.31,-67.1,43.9,23.3,-68.4,41.8,23.3
2003-10-29T08:14:00,60,ARC,214.44,68.12,-96.08,68.83,21.41,21.17,26.12,124,-257.3,-241.6,-195.7,-124.6,-330.2,-195.7
2003-10-29T08:14:00,60,ASC,345.62,-7.95,56.11,-15.2,7.55,105.2,-16.9,65.72,-103.7,-0.8,-0.8,-99.4,29.4,-0.8
2003-10-29T08:14:00,60,ASP,133.88,-23.77,-152.74,-34.04,17.63,124.04,5.16,76.96,-110.1,25.6,-39.9,-111.9,15.6,-39.9
2003-10-29T08:14:00,60,ATU,306.43,67.93,38.14,74.2,6.35,15.8,-37.96,108.35,-85.3,-167.2,967.6,-170.1,-79.3,967.6
2003-10-29T08:14:00,60,B03,291.88,-67.57,7.64,-52.47,4.32,142.47,20.69,88.58,-167.2,-12.5,267.3,-152,-70.8,267.3
2003-10-29T08:14:00,60,B04,41.08,-68.58,73.64,-66.18,8.72,156.18,-50,55.71,-270.8,-207.8,-370.7,-333.2,73.9,-370.7
2003-10-29T08:14:00,60,B11,336.58,-77.51,30.11,-63.47,5.82,153.47,-3.39,73.93,-583.4,74.6,-307.8,-577.9,109.1,-307.8
2003-10-29T08:14:00,60,B12,335.88,-79.08,29.1,-64.7,5.75,154.7,-2.79,74.36,-468.3,-13.4,-368.5,-468.4,9.4,-368.5
2003-10-29T08:14:00,60,B14,337.74,-80.89,28.8,-66.31,5.73,156.31,-4.2,74.41,-517,-20.4,-501.2,-517.1,17.5,-501.2
2003-10-29T08:14:00,60,B15,2.97,-81.49,36.66,-68.6,6.25,158.6,-24.66,71.22,-57,-181,-638.2,-127.3,-140.7,-638.2
2003-10-29T08:14:00,60,B17,347.76,-82.9,30.3,-68.53,5.83,158.53,-12.63,73.7,20.8,-208,-667.1,-25.2,-207.5,-667.1
2003-10-29T08:14:00,60,B18,336.14,-84.35,25.78,-69.17,5.53,159.17,-3.2,75.37,-14.1,-163.1,-625.4,-23.2,-162.1,-625.4
