Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2022-01-01T00:00:00,1,LET,247.13,49.64,-50.07,56.88,15.43,33.12,13.15,93.35,7.3,-1000.2,10000.5,9.5,-8.3,1.5
2022-01-01T00:00:00,1,T03,247.02,50.37,-50.40,57.60,15.41,32.40,13.35,93.68,6.6,11.1,0.1,3.9,12.4,0.1
2022-01-01T00:00:00,1,T37,237.17,53.81,-63.18,59.16,14.56,30.84,17.22,90.82,0.0,3.2,7.5,-0.9,3.1,7.5
2022-01-01T00:00:01,1,LET,247.13,49.64,-50.07,56.88,15.43,33.12,13.15,93.35,7.3,-1000.2,10000.5,9.5,-8.3,1.5
2022-01-01T00:00:01,1,T03,247.02,50.37,-50.40,57.60,15.41,32.40,13.35,93.68,6.7,11.2,0.2,3.9,12.5,0.2
2022-01-01T00:00:01,1,T37,237.17,53.81,-63.18,59.16,14.56,30.84,17.22,90.82,0.1,3.2,7.4,-0.9,3.1,7.4
2022-01-01T00:00:02,1,LET,247.13,49.64,-50.07,56.88,15.44,33.12,13.15,93.35,7.3,-10.3,1.5,9.5,-8.3,1.5
2022-01-01T00:00:02,1,T03,247.02,50.37,-50.40,57.60,15.41,32.40,13.35,93.68,6.7,11.1,0.1,3.9,12.4,0.1
2022-01-01T00:00:02,1,T37,237.17,53.81,-63.18,59.16,14.56,30.84,17.22,90.82,0.1,3.1,7.6,-0.8,3.0,7.6
2022-01-01T00:00:03,1,LET,247.13,49.64,-50.07,56.88,15.44,33.12,13.15,93.35,7.3,-10.2,1.6,9.5,-8.3,1.6
2022-01-01T00:00:03,1,T03,247.02,50.37,-50.40,57.60,15.41,32.40,13.35,93.68,6.5,11.1,0.1,3.8,12.3,0.1
2022-01-01T00:00:03,1,T37,237.17,53.81,-63.18,59.16,14.56,30.84,17.22,90.82,0.0,3.1,7.5,-0.9,3.0,7.5
2022-01-01T00:00:04,1,LET,247.13,49.64,-50.07,56.88,15.44,33.12,13.15,93.35,7.3,-10.2,1.6,9.4,-8.3,1.6
2022-01-01T00:00:04,1,T03,247.02,50.37,-50.40,57.60,15.41,32.40,13.35,93.68,6.5,11.1,0.1,3.8,12.3,0.1
2022-01-01T00:00:04,1,T37,237.17,53.81,-63.18,59.16,14.56,30.84,17.22,90.82,-0.0,3.2,7.5,-1.0,3.1,7.5
2022-01-01T00:00:05,1,LET,247.13,49.64,-50.07,56.88,15.44,33.12,13.15,93.35,7.3,-10.2,1.7,9.5,-8.3,1.7
2022-01-01T00:00:05,1,T03,247.02,50.37,-50.40,57.60,15.41,32.40,13.35,93.68,6.5,11.1,0.1,3.8,12.3,0.1
2022-01-01T00:00:05,1,T37,237.17,53.81,-63.18,59.16,14.56,30.84,17.22,90.82,0.0,3.2,7.4,-0.9,3.1,7.4
2022-01-01T00:00:06,1,LET,247.13,49.64,-50.07,56.88,15.44,33.12,13.15,93.35,7.4,-10.2,1.6,9.5,-8.3,1.6
2022-01-01T00:00:06,1,T03,247.02,50.37,-50.40,57.60,15.41,32.40,13.35,93.68,6.5,11.1,0.1,3.7,12.3,0.1
2022-01-01T00:00:06,1,T37,237.17,53.81,-63.18,59.16,14.56,30.84,17.22,90.82,-0.0,3.2,7.5,-1.0,3.1,7.5
2022-01-01T00:00:07,1,LET,247.13,49.64,-50.07,56.88,15.44,33.12,13.15,93.35,7.3,-10.3,1.8,9.4,-8.4,1.8
2022-01-01T00:00:07,1,T03,247.02,50.37,-50.40,57.60,15.41,32.40,13.35,93.68,6.5,11.1,0.1,3.8,12.3,0.1
